Sample_ID,Biomass_Type,Class,Subclass,Ash_db,VM_db,FC_db,C_db,H_db,N_db,S_db,O_db,CV_MJ/kg_db,Na2O,MgO,Al2O3,SiO2,P2O5,K2O3,CaO,TiO2,Mn3O4,Fe2O3,Other,State,Longitude,Latitude
29,Forestry,Stem,Hardwood (Eucalyptus),0.9,84.5,14.6,49.4,5.93,0.2,0.11,43.46,19.08,7.4,5.0,1.06,2.97,4.3,20.5,10.9,0.94,0.16,5.3,41.47,VIC,145.3977618,-36.3723079
30,Industrial Processing,Timber industry,Woodchips (Hardwood),0.9,85.2,13.9,50.1,5.99,0.12,0.01,42.88,19.57,0.97,11.3,2.46,20.6,1.48,12.4,14.6,0.5,0.31,4.7,30.68,NSW,153.4499355,-28.95409454
31,Forestry,Branch,Hardwood (Acacia saligna),1.6,80.6,17.8,48.9,5.84,0.58,0.08,43.0,19.0,0.7,12.1,0.3,0.4,3.9,22.7,26.6,0.01,0.03,0.16,33.1,WA,115.9279348,-31.55747342
32,Forestry,Stem,Hardwood (Acacia saligna),0.7,85.2,14.1,49.3,5.92,0.16,0.07,43.85,18.83,4.1,6.9,0.9,1.8,1.9,22.3,25.2,0.02,0.03,0.95,35.9,WA,115.9279348,-31.55747342
33,Forestry,Bark,Hardwood (Acacia saligna),3.3,73.2,23.5,50.1,5.44,0.75,0.23,40.18,19.04,1.1,5.7,0.34,1.1,0.9,7.0,42.0,0.02,0.01,0.21,41.62,WA,115.9279348,-31.55747342
34,Forestry,Leaf/twig,Hardwood (Acacia saligna),6.1,74.1,19.8,49.3,5.74,2.51,0.54,35.81,19.5,0.9,8.1,0.3,3.3,4.0,13.1,32.0,0.02,0.06,0.2,38.02,WA,115.9279348,-31.55747342
36,Industrial Processing,Sugar industry,Bagasse,5.8,79.0,15.2,45.3,5.4,0.3,0.1,43.1,19.34,,,,,,,,,,,,NSW,,
37,Agricultural,Crop farming,Sugar cane trash,9.6,82.0,8.4,42.9,5.5,0.6,0.1,41.3,17.99,,,,,,,,,,,,NSW,,
38,Urban Waste,Green waste,Raw Green waste,2.9,78.0,19.1,47.0,5.6,0.3,0.1,44.1,20.32,,,,,,,,,,,,NSW,,
39,Industrial Processing,Timber industry,Woodchips (Softwood),0.8,85.0,14.2,50.3,6.1,0.1,0.2,42.5,19.95,,,,,,,,,,,,NSW,,
40,Industrial Processing,Timber industry,Sawdust (Softwood),0.6,85.0,14.4,49.0,5.9,0.3,0.1,44.1,19.52,,,,,,,,,,,,NSW,,
41,Industrial Processing,Timber industry,Sawdust (Hardwood),4.3,80.0,15.7,48.2,5.3,0.0,0.0,42.2,19.02,,,,,,,,,,,,NSW,,
44,Industrial Processing,Cotton Industry,Cotton gin trash,7.8,77.1,15.1,45.7,6.03,1.54,0.18,38.75,18.02,,,,,,,,,,,,NSW,149.7709993,-30.21985604
45,Industrial Processing,Cotton Industry,Cotton gin trash,11.0,68.5,20.5,43.8,5.07,1.62,0.19,38.32,16.17,0.85,4.4,9.7,41.5,5.3,14.3,15.1,0.48,0.09,3.7,4.58,NSW,149.817368,-29.32557846
46,Agricultural,Crop farming,Cotton stalks,6.1,,,,,,,,17.7,2.1,4.7,10.4,48.9,2.8,12.0,10.8,0.65,0.09,4.5,3.06,NSW,149.817368,-29.32557846
47,Industrial Processing,Timber industry,Residues (Mimosa pigra),2.4,78.8,18.8,,,,,,19.25,,,,,,,,,,,,NT,131.1036,-13.2361
48,Industrial Processing,Timber industry,Residues (Mimosa pigra),4.0,76.3,19.7,,,,,,19.39,,,,,,,,,,,,NT,131.1036,-13.2361
49,Urban Waste,Green waste,Raw Green waste,30.9,53.9,15.2,34.4,3.7,0.6,0.09,30.31,,0.99,1.3,7.6,78.1,0.62,2.3,3.6,0.56,0.06,4.8,0.07,NSW,150.7992,-34.4638
