Sample_ID,Biomass_Type,Class,Subclass,Ash_db,VM_db,FC_db,C_db,H_db,N_db,S_db,O_db,CV_MJ/kg_db,Na2O,MgO,Al2O3,SiO2,P2O5,K2O3,CaO,TiO2,Mn3O4,Fe2O3,Other,State,Longitude,Latitude
126,Urban Waste,MSW,Woody waste (MSW),1.0,80.8,18.2,49.6,6.1,0.17,0.02,43.04,19.5,3.63,4.66,9.1,13.0,1.09,3.28,35.6,9.9,0.21,7.6,11.93,QLD,153.0057,-27.602
127,Urban Waste,MSW,Other combustibles (MSW),20.4,72.3,7.3,56.1,7.0,1.3,0.66,13.95,25.6,20.2,0.73,7.9,46.2,1.51,1.84,10.0,0.58,0.02,0.92,10.1,QLD,153.0057,-27.602
128,Urban Waste,MSW,Combustibles (MSW),7.6,77.4,15.1,52.8,6.4,1.29,0.18,31.0,22.5,10.02,2.27,8.91,28.12,4.35,2.491746032,34.21,1.81,0.04,1.09,6.69,QLD,153.0057,-27.602
129,Urban Waste,Green waste,Shredded green waste,14.2,65.5,20.3,43.9,5.4,0.74,0.12,35.31,17.2,,,,,,,,,,,,QLD,153.0057,-27.602
130,Urban Waste,Green waste,Shredded green waste,7.9,71.1,21.0,47.5,5.2,0.81,0.14,38.0,18.4,,,,,,,,,,,,QLD,153.0057,-27.602
131,Urban Waste,Green waste,Raw Green waste,11.5,68.1,20.4,46.0,5.4,1.02,0.14,35.5,17.7,,,,,,,,,,,,QLD,153.0057,-27.602
132,Urban Waste,Green waste,Shredded green waste,8.0,72.1,19.9,47.2,5.6,0.73,0.11,38.36,16.97,2.73,4.07,5.4,43.5,3.22,7.907936508,19.2,0.49,0.15,2.36,10.97,QLD,153.0057,-27.602
133,Industrial Processing,Timber industry,Woodchips (Hardwood),0.53,83.75,15.72,49.88,5.8,0.08,0.01,43.7,19.41,2.72,8.2,1.68,10.2,2.09,6.341269841,49.3,0.17,0.98,0.95,17.37,QLD,,
134,Urban Waste,Biosolids,Treated biosolids,41.3,50.3,8.4,31.1,4.7,9.82,1.18,11.9,14.0,0.65,8.8,11.1,15.6,36.9,1.447301587,9.9,1.1,0.12,12.1,2.28,QLD,153.0099,-27.5473
135,Industrial Processing,Timber industry,Wood pellet (softwood),0.41,85.4,14.2,52.5,6.3,0.13,0.02,40.64,21.3,3.74,15.5,1.56,6.0,7.2,13.05555556,30.0,0.08,1.2,0.79,20.87,QLD,152.6971,-25.5233
136,Urban Waste,Biosolids,Biosolids pellet,33.9,,,,,,,,,1.28,6.9,10.9,23.0,23.1,0.88031746,10.0,0.93,0.11,15.3,7.6,QLD,153.1488,-27.3799
137,Industrial Processing,Timber industry,Hardwood (Eucalyptus),1.1,82.0,16.8,48.7,5.79,0.68,0.04,43.7,19.25,,,,,,,,,,,,WA,116.882,-30.353
138,Industrial Processing,Other,Hardwood (Eucalyptus),8.0,73.4,18.6,49.0,5.91,0.13,0.09,36.9,19.91,,,,,,,,,,,,WA,117.12,-30.36
139,Industrial Processing,Other,Wood waste and plastics waste,8.41,71.05,20.54,45.49,5.68,1.27,0.17,37.69,18.58,,,,,,,,,,,,QLD,153.2175,-27.7508
140,Industrial Processing,Other,Wood waste and plastics waste,13.59,68.85,17.56,44.65,5.62,1.05,0.16,33.98,17.9,,,,,,,,,,,,QLD,153.2175,-27.7508
141,Agricultural,Other,Algae (Phyllospora),22.69,69.16,8.15,36.1,4.4,0.98,0.95,32.29,13.2,17.63,9.96,0.28,5.26,2.37,29.76,15.51,0.07,0.03,0.33,18.76,VIC,145.2038,-38.4899
142,Agricultural,Other,Algae (Macrocystis),37.86,55.22,6.92,28.4,3.6,1.12,0.9,20.11,10.35,15.08,5.77,0.64,11.7,2.71,42.53,11.51,0.13,0.03,0.6,9.26,VIC,144.9726,-38.4345
