Sample_ID,Biomass_Type,Class,Subclass,Ash_db,VM_db,FC_db,C_db,H_db,N_db,S_db,O_db,CV_MJ/kg_db,Na2O,MgO,Al2O3,SiO2,P2O5,K2O3,CaO,TiO2,Mn3O4,Fe2O3,Other,State,Longitude,Latitude,Energy_Density_Index,Volatile_Fixed_Ratio,Combustibility_Index,Alkali_Index,Silica_Ratio,Base_Acid_Ratio,Moist_ar,Moisture_Penalty,Effective_HHV
21,Industrial Processing,Timber industry,Residues (Mimosa pigra),4.0,80.7,15.3,49.0,5.69,0.38,0.09,40.84,18.99,0.92,2.29,3.6,58.8,0.87,5.3,7.0,0.83,0.14,9.3,10.95,NT,131.1036,-13.2361,290.54699999999997,5.2745098039215685,72.63674999999999,6.22,6.329386437029064,0.29791666666666666,10.9,0.08403361344537814,-188.001
22,Forestry,Bark,Hardwood (Eucalyptus),1.8,80.1,18.1,47.7,5.73,0.32,0.38,44.07,18.53,6.1,7.0,0.59,1.44,5.0,18.3,12.1,0.43,0.14,1.74,47.16,VIC,145.3977618,-36.3723079,335.39300000000003,4.425414364640884,186.32944444444445,24.4,0.07539267015706805,10.266009852216749,24.1,0.0398406374501992,-428.04300000000006
23,Forestry,Leaf/twig,Hardwood (Eucalyptus),3.9,76.6,19.5,55.1,6.08,2.0,0.4,32.52,22.66,11.9,7.6,0.95,3.74,6.1,17.5,18.3,0.07,0.46,0.8,32.58,VIC,145.3977618,-36.3723079,441.87,3.928205128205128,113.3,29.4,0.14440154440154443,5.692963752665245,22.3,0.04291845493562232,-482.658
24,Forestry,Leaf/twig,Hardwood (Eucalyptus),1.8,80.3,17.9,48.9,5.8,0.43,0.28,42.79,19.24,10.0,7.6,0.46,1.01,3.6,17.7,17.9,0.44,0.35,4.0,36.94,VIC,145.3977618,-36.3723079,344.39599999999996,4.4860335195530725,191.33111111111108,27.7,0.039607843137254906,20.068027210884352,48.4,0.020242914979757085,-911.9759999999999
25,Forestry,Mixed,Hardwood (Eucalyptus),1.3,82.2,16.5,49.6,5.9,0.52,0.22,42.46,19.41,15.9,9.3,0.39,1.42,4.3,12.6,16.4,0.08,0.25,1.49,37.87,VIC,145.3977618,-36.3723079,320.265,4.981818181818182,246.35769230769228,28.5,0.05525291828793774,15.02209944751381,57.5,0.017094017094017096,-1096.665
26,Forestry,Mixed,Hardwood (Eucalyptus),1.9,81.1,17.0,50.1,5.94,0.5,0.24,41.32,19.9,10.6,7.7,0.93,4.2,4.1,15.5,20.4,0.07,0.33,1.87,34.3,VIC,145.3977618,-36.3723079,338.29999999999995,4.770588235294118,178.05263157894734,26.1,0.14946619217081852,5.842105263157895,56.9,0.017271157167530225,-1112.4099999999999
27,Forestry,Stem,Hardwood (Eucalyptus),0.7,84.9,14.4,48.8,5.92,0.29,0.15,44.14,18.86,8.1,10.2,0.51,1.08,4.6,18.0,13.9,0.76,0.27,5.0,37.58,VIC,145.3977618,-36.3723079,271.584,5.895833333333334,387.9771428571429,26.1,0.044813278008298756,18.30188679245283,37.8,0.025773195876288662,-694.0479999999999
28,Forestry,Stem,Hardwood (Eucalyptus),0.9,84.3,14.8,52.3,5.6,0.32,0.15,40.73,20.27,7.0,8.1,0.7,1.67,5.8,21.1,14.0,0.5,0.16,2.01,38.96,VIC,145.3977618,-36.3723079,299.996,5.695945945945946,333.32888888888886,28.1,0.0755656108597285,10.172995780590716,53.1,0.018484288354898334,-1056.067
29,Forestry,Stem,Hardwood (Eucalyptus),0.9,84.5,14.6,49.4,5.93,0.2,0.11,43.46,19.08,7.4,5.0,1.06,2.97,4.3,20.5,10.9,0.94,0.16,5.3,41.47,VIC,145.3977618,-36.3723079,278.568,5.787671232876712,309.52,27.9,0.1867924528301887,5.260545905707196,31.7,0.030581039755351678,-585.756
30,Industrial Processing,Timber industry,Woodchips (Hardwood),0.9,85.2,13.9,50.1,5.99,0.12,0.01,42.88,19.57,0.97,11.3,2.46,20.6,1.48,12.4,14.6,0.5,0.31,4.7,30.68,NSW,153.4499355,-28.95409454,272.023,6.129496402877698,302.2477777777778,13.370000000000001,0.7953667953667954,1.326973113616652,21.2,0.04504504504504505,-395.31399999999996
