Sample_ID,Biomass_Type,Class,Subclass,Ash_db,VM_db,FC_db,C_db,H_db,N_db,S_db,O_db,CV_MJ/kg_db,Na2O,MgO,Al2O3,SiO2,P2O5,K2O3,CaO,TiO2,Mn3O4,Fe2O3,Other,State,Longitude,Latitude,Energy_Density_Index,Volatile_Fixed_Ratio,Combustibility_Index,Alkali_Index,Silica_Ratio,Base_Acid_Ratio,Moist_ar,Moisture_Penalty,Effective_HHV,Cluster
1,Industrial Processing,Timber industry,Woodchips (Softwood),1.1,81.0,17.9,48.6,6.26,0.2,0.01,43.83,20.55,0.84,4.93,4.73,16.1,0.39,4.15,32.6,0.48,0.91,3.63,31.24,NSW,151.7006,-32.1932,367.845,4.5251396648044695,334.4045454545454,4.99,0.428990141220357,1.9759961593855015,41.2,0.0236966824644549,-826.1100000000001,1.0
3,Agricultural,Animal farming,Chicken manure pellets,32.7,56.2,11.1,30.0,3.91,3.94,0.72,28.73,12.41,1.63,3.91,2.68,22.7,18.3,7.4,35.4,0.19,0.26,1.9,5.63,NSW,,,137.751,5.063063063063064,4.21256880733945,9.03,0.5774612058000508,1.623719464144996,18.9,0.050251256281407,-222.139,2.0
4,Urban Waste,Biosolids,Treated biosolids,42.8,52.0,5.2,24.7,4.35,4.61,0.67,22.87,12.66,0.37,1.73,12.8,28.9,15.5,1.35,2.48,0.69,0.15,25.7,10.33,NSW,150.8889793,-33.72839216,65.83200000000001,10.0,1.5381308411214956,1.7200000000000002,6.8646080760095005,0.7172661870503597,8.1,0.1098901098901098,-89.886,2.0
5,Industrial Processing,Paper industry,Paper sludge,26.2,64.2,9.6,32.4,4.96,0.47,0.17,35.8,14.14,0.27,2.56,22.2,33.9,0.41,0.55,18.1,1.91,0.03,2.06,18.01,NSW,,,135.744,6.687500000000001,5.1810687022900765,0.8200000000000001,1.6408518877057114,0.4049910873440285,7.8,0.1136363636363636,-96.152,2.0
6,Industrial Processing,Cotton Industry,Cotton seed hulls,1.9,77.9,20.2,32.5,6.02,0.45,0.05,59.08,18.28,0.57,6.68,0.75,3.6,2.83,37.4,4.17,0.05,0.07,0.91,42.97,NSW,149.7709993,-30.21985604,369.256,3.8564356435643568,194.34526315789475,37.97,0.3317972350230415,2.703448275862069,11.6,0.0793650793650793,-193.768,1.0
7,Industrial Processing,Rice industry,Rice hulls,26.1,58.8,15.1,31.1,4.59,0.27,0.04,37.9,14.01,0.12,0.36,0.28,88.9,0.27,1.67,0.38,0.01,0.13,0.49,7.39,NSW,146.4018542,-34.62489477,211.551,3.8940397350993377,8.105402298850574,1.79,120.13513513513514,0.0137923301188607,10.0,0.0909090909090909,-126.09,2.0
8,Urban Waste,Green waste,Raw Green waste,53.5,33.5,13.0,21.7,2.37,1.85,0.64,19.94,9.82,1.61,1.81,7.56,62.4,2.51,5.25,4.91,0.79,0.15,4.35,8.66,NSW,150.7992,-34.4638,127.66,2.576923076923077,2.386168224299065,6.86,9.285714285714285,0.1582332761578044,81.6,0.0121065375302663,-791.492,2.0
9,Industrial Processing,Sugar industry,Bagasse,32.0,56.0,12.0,31.0,4.09,0.61,0.07,32.23,13.35,1.56,1.02,10.8,72.5,0.39,2.79,1.34,0.67,0.13,3.46,5.34,NSW,,,160.2,4.666666666666667,5.00625,4.35,30.720338983050844,0.0698679471788715,61.5,0.016,-807.675,2.0
10,Agricultural,Crop farming,Sugar cane trash,48.2,39.3,12.5,23.4,3.0,1.07,0.15,24.18,10.65,1.43,1.56,10.3,69.5,0.85,4.37,1.81,0.73,0.31,3.87,5.27,NSW,,,133.125,3.144,2.761929460580913,5.8,20.623145400593472,0.0907268170426065,80.1,0.0123304562268803,-842.415,2.0
11,Industrial Processing,Timber industry,Residues (Softwood),0.2,85.4,14.4,46.6,6.47,0.14,0.01,46.58,19.0,0.22,9.08,4.0,12.9,2.67,23.3,15.2,0.12,4.12,1.55,26.84,NSW,149.8493297,-33.69270116,273.6,5.930555555555556,1368.0,23.52,0.5313014827018122,1.5284023668639055,11.9,0.0775193798449612,-207.1,1.0
