k,inertia,silhouette
2,483.4076387406313,0.6031550621732015
3,270.79417752458664,0.6219777580275657
4,199.48364748528846,0.2977991904915569
5,161.96088144922015,0.32986875787711295
6,139.79756862111986,0.35112698854650964
7,119.25109852893294,0.3663819895155893
