Cluster,Agricultural,Forestry,Industrial Processing,Urban Waste
0,0.0,0.0,0.0,1.0
1,0.018691588785046728,0.4672897196261682,0.38317757009345793,0.1308411214953271
2,0.4,0.0,0.3,0.3
