Cluster,CV_MJ/kg_db,VM_db,FC_db,Ash_db,Volatile_Fixed_Ratio,Moisture_Penalty
0,40.6,97.8,0.9,1.3,108.66666666666666,0.3125
1,19.528971962616822,80.57336448598132,16.724485981308412,2.7050467289719626,5.2053810488336385,0.06980302401507724
2,12.925999999999998,52.870000000000005,11.75,35.38,4.9952218847095695,0.05104067227905016
